iter	Passed	Remaining
0	156	15467
1	288	14146
2	415	13427
3	521	12517
4	606	11527
5	707	11086
6	808	10736
7	896	10307
8	1000	10119	9	1075	9671010	1147	9281111	1216	8921212	1286	8611313	1358	83414	1424	8069
1515	1504	7891616	1573	76817	1638	7463
18	1713	7304
19	1793	7173
20	1874	7053
21	1949	6910
22	2021	6767
23	2091	6622
24	2163	6491
25	2233	6358
26	2299	6217
27	2360	6070
28	2436	5965
29	2506	5847
30	2575	5732
31	2642	5615
32	2715	5512
33	2783	5403
34	2858	5308
35	2930	5210
36	3004	5115
37	3079	5024
38	3157	4937
39	3227	4841
40	3295	4742
41	3364	4645
42	3431	4549
43	3498	4452
44	3575	4370
45	3642	4276
46	3713	4187
47	3787	4102
48	3855	4013
49	3931	3931
50	4000	3843
51	4072	3759
52	4143	3674
53	4221	3596
54	4292	3512
55	4369	3433
56	4441	3350
57	4499	3258
58	4562	3170
59	4623	3082
60	4692	2999
61	4755	2914
62	4816	2828
63	4881	2745
64	4939	2659
65	4997	2574
66	5055	2489
67	5125	2411
68	5190	2332
69	5256	2252
70	5318	2172
71	5374	2089
72	5434	2010
73	5496	1931
74	5556	1852
75	5618	1774
76	5684	1697
77	5751	1622
78	5818	1546
79	5880	1470
80	5941	1393
81	5995	1316
82	6060	1241
8383	6147	11784	6219	1097
85	6286	1023
86	6332	946
87	6372	868
88	6410	792
89	6452	716
90	6491	642
91	6534	568
92	6576	494
93	6618	422
9494	6667	359595	6718	279696	6782	209797	6824	139898	6869	69999	6898	0
